#{"t_start": 1770142019.693202, "env_id": "None"}
r,l,t
191.39,2000,1.041144
-115.685,2000,2.907803
60.485,2000,4.776258
53.46,2000,6.558442
-340.24,2000,8.393326
54.52,2000,10.176361
-25.11,2000,11.967658
88.18,2000,13.787227
2188.66,2000,15.772246
-947.65,2000,17.710153
84.41,2000,19.778613
129.71,2000,22.102695
471.9,2000,24.753044
775.62,2000,27.634469
-611.075,2000,30.412206
991.98,2000,32.914962
-2238.67,2000,35.330274
3250.255,2000,37.789606
2084.51,2000,39.926279
-462.925,2000,41.822529
627.855,2000,43.699389
485.76,2000,45.456588
1486.46,2000,47.240244
1812.05,2000,49.032398
-925.15,2000,50.88266
2563.3,2000,52.916764
